rec_tourist_spots_geometry,rec_tourist_spots_tag,rec_tourist_spots_address,rec_tourist_spots_street,rec_tourist_spots_city
"POLYGON ((-6.273357 53.3434475, -6.2732647 53.3434332, -6.2733293 53.3432849, -6.2734215 53.3432992, -6.273357 53.3434475))",pub,The Christchurch Inn,High Street,Dublin
"POLYGON ((-6.2620089 53.3433607, -6.2619529 53.343467, -6.2621913 53.3435022, -6.2622158 53.3433933, -6.2621538 53.3433843, -6.2620089 53.3433607))",restaurant,Red Torch Ginger,Saint Andrew Street,Dublin
"POLYGON ((-6.2620871 53.3436928, -6.2621482 53.3437441, -6.2622443 53.343747, -6.2622573 53.3436566, -6.2621791 53.343643, -6.2621597 53.3436422, -6.2621514 53.3436527, -6.2620871 53.3436928))",cafe,Boston Donuts,Trinity Street,Dublin
"POLYGON ((-6.2639769 53.345512, -6.264257 53.3454996, -6.2642577 53.3453762, -6.264144 53.3453762, -6.2641461 53.3454199, -6.2639643 53.3454248, -6.2639769 53.345512))",pub,The Temple Bar,Temple Bar,Dublin
"POLYGON ((-6.2640621 53.3282266, -6.2640528 53.3282726, -6.264347 53.3282899, -6.2643588 53.3282248, -6.264198 53.3282145, -6.2641943 53.3282351, -6.2640621 53.3282266))",arts_centre,Martcade,Rathmines Road Lower,Dublin
"POLYGON ((-6.4582467 53.2002625, -6.4579992 53.2004099, -6.4577708 53.2002723, -6.457845 53.2002281, -6.4579805 53.2003097, -6.4580494 53.2002687, -6.4579971 53.2002372, -6.4581015 53.200175, -6.4582467 53.2002625))",pub,,,
"POLYGON ((-6.2607763 53.3485109, -6.2608081 53.3485066, -6.2608731 53.3484983, -6.2608247 53.3483449, -6.2607242 53.3483553, -6.2607763 53.3485109))",restaurant,Govinda's,Middle Abbey Street,Dublin
"POLYGON ((-6.2852097 53.3440405, -6.2848618 53.3440149, -6.2849161 53.3437516, -6.2849396 53.3436376, -6.2849961 53.3436125, -6.2852552 53.3436315, -6.2852312 53.3437482, -6.2852705 53.3437511, -6.2852549 53.343827, -6.2852074 53.3438235, -6.2851801 53.3439557, -6.2852265 53.3439591, -6.2852097 53.3440405))",theatre,Rupert Guinness Theatre,Watling Street,
"POLYGON ((-6.2898798 53.3480292, -6.2896083 53.3480264, -6.2896246 53.3481672, -6.2897916 53.3481658, -6.2897914 53.3481572, -6.2898868 53.3481564, -6.2898798 53.3480292))",pub,Judge Darley’s,Benburb Street,Dublin
"POLYGON ((-6.2650737 53.3446328, -6.2650753 53.3446543, -6.2649203 53.3446585, -6.2649181 53.3446293, -6.264914 53.3445749, -6.265069 53.3445708, -6.2650668 53.3445411, -6.2652256 53.3445425, -6.2652256 53.3445297, -6.2652537 53.344529, -6.2654165 53.3445249, -6.2654172 53.3445353, -6.2656191 53.3445388, -6.265628 53.344656, -6.2655591 53.3446544, -6.2655649 53.3447153, -6.2655687 53.3447556, -6.2655247 53.3447571, -6.2655009 53.3447579, -6.2655035 53.3447739, -6.2653025 53.3447852, -6.2652125 53.3447902, -6.2651936 53.3446695, -6.2651141 53.3446722, -6.2651105 53.3446318, -6.2650737 53.3446328))",cinema,Irish Film Institute,Eustace Street,Dublin
"POLYGON ((-6.2645115 53.3456179, -6.2644083 53.3456347, -6.264379 53.345551, -6.2644745 53.3455367, -6.2645115 53.3456179))",restaurant,O’Reilly’s Temple Bar,Essex Street East,Dublin
"POLYGON ((-6.2649323 53.3455785, -6.264899 53.3454991, -6.2648886 53.3454866, -6.2648672 53.3454812, -6.2648027 53.3454878, -6.2646581 53.3455094, -6.2647033 53.3455951, -6.264711 53.3456097, -6.2649323 53.3455785))",restaurant,Milano,Essex Street East,Dublin
"POLYGON ((-6.2607138 53.3498549, -6.2606834 53.3497964, -6.2607507 53.3497842, -6.260781 53.3498433, -6.2607138 53.3498549))",cafe,Butlers Chocolate Café,Henry Street,Dublin
"POLYGON ((-6.5551703 53.3008973, -6.5550148 53.3007664, -6.5549168 53.3006839, -6.5550613 53.3006106, -6.5550149 53.3005796, -6.5552112 53.3004884, -6.5552521 53.3005291, -6.5554429 53.3005405, -6.5554729 53.300565, -6.5555465 53.3004575, -6.5557182 53.3005063, -6.5557019 53.3005242, -6.5557836 53.3005405, -6.5558491 53.3005845, -6.5558491 53.3006024, -6.5558409 53.300622, -6.5557019 53.3006855, -6.5555991 53.3007245, -6.5555356 53.3007474, -6.5554702 53.3007768, -6.5554538 53.3007653, -6.5553747 53.3008012, -6.555372 53.3008175, -6.5553557 53.3008289, -6.5553284 53.3008305, -6.5552848 53.3008126, -6.5552439 53.3008289, -6.5552793 53.3008549, -6.5551703 53.3008973))",restaurant,The Village at Lyons,,
"POLYGON ((-6.2656031 53.3366715, -6.2656147 53.3367282, -6.265781 53.3367161, -6.2657907 53.3367635, -6.2659008 53.3367554, -6.2659077 53.3367889, -6.2661606 53.3367704, -6.2661508 53.336723, -6.2664224 53.3367032, -6.2664039 53.3366129, -6.266124 53.3366334, -6.2656031 53.3366715))",bar,Opium,Wexford Street,Dublin
"POLYGON ((-6.2652722 53.3417558, -6.265432 53.3418212, -6.265575 53.3418754, -6.2655215 53.3419241, -6.2652165 53.3418049, -6.2652722 53.3417558))",pub,The Long Hall,South Great George's Street,Dublin
"POLYGON ((-6.2598553 53.3496168, -6.2598757 53.349664, -6.2596901 53.349693, -6.2594696 53.3497275, -6.2594474 53.3496773, -6.2597059 53.3496403, -6.2598553 53.3496168))",cafe,Starbucks,O'Connell Street Lower,Dublin
"POLYGON ((-6.2754936 53.3424585, -6.2753041 53.3425189, -6.2752052 53.3424084, -6.2752925 53.3423805, -6.2753947 53.3423481, -6.2754936 53.3424585))",pub,Drop Dead Twice,Francis Street,Dublin
"POLYGON ((-6.2717754 53.3299067, -6.2716846 53.3299102, -6.2716748 53.3298205, -6.2717656 53.3298169, -6.2717754 53.3299067))",restaurant,Locks,Windsor Terrace,
"POLYGON ((-6.2724186 53.2693156, -6.2724073 53.2693201, -6.2724513 53.2693597, -6.2724032 53.2693788, -6.2723927 53.2693693, -6.2723676 53.2693466, -6.2723161 53.2693671, -6.2722136 53.269275, -6.2720663 53.2692284, -6.2721111 53.2691777, -6.2722442 53.2692198, -6.2723398 53.2691818, -6.2724342 53.2692668, -6.2723857 53.269286, -6.2724186 53.2693156))",cafe,The Wicklow Way Cafe,,
"POLYGON ((-6.5376684 53.3408926, -6.5377905 53.3409342, -6.5378596 53.3409576, -6.5378104 53.3410092, -6.5377352 53.3409837, -6.5377065 53.3410137, -6.5375905 53.3409743, -6.5376684 53.3408926))",restaurant,Michelangelo,,
"POLYGON ((-6.5386429 53.3398505, -6.5386151 53.3398845, -6.5387742 53.3399384, -6.5388057 53.3399018, -6.5386429 53.3398505))",restaurant,Tea Time,,
"POLYGON ((-6.5386151 53.3398845, -6.5385815 53.3399226, -6.5387457 53.3399749, -6.5387742 53.3399384, -6.5386151 53.3398845))",cafe,Creed Coffee Roasters,,
"POLYGON ((-6.5383708 53.3401397, -6.5383512 53.3401551, -6.5383162 53.3401942, -6.5382737 53.3402415, -6.5384439 53.3402959, -6.5387177 53.3403835, -6.5387878 53.3403053, -6.5384466 53.3401961, -6.5384542 53.3401876, -6.5384688 53.3401714, -6.5383708 53.3401397))",pub,Castletown Inn,Main Street,Celbridge
"POLYGON ((-6.5382737 53.3402415, -6.5382096 53.3403133, -6.5383107 53.3403457, -6.5383939 53.3403503, -6.5384439 53.3402959, -6.5382737 53.3402415))",pub,The Speaker Bar,Main Street,Celbridge
"POLYGON ((-6.2820718 53.3508368, -6.2819792 53.350772, -6.2818753 53.350838, -6.2818545 53.3508512, -6.2819444 53.3509129, -6.2819712 53.3508969, -6.2820718 53.3508368))",pub,The Glimmer Man,Stoneybatter,Dublin
"POLYGON ((-6.2820139 53.3504661, -6.2819544 53.3503847, -6.282143 53.3503356, -6.2822025 53.350417, -6.2820139 53.3504661))",pub,The Belfry,Stoneybatter,Dublin
"POLYGON ((-6.2817286 53.3504217, -6.2817073 53.3503301, -6.2815971 53.3503382, -6.2815436 53.3503412, -6.2815446 53.350354, -6.2815509 53.3504301, -6.2817286 53.3504217))",pub,J. Walsh & Co.,Stoneybatter,Dublin
"POLYGON ((-6.2802386 53.3472452, -6.2802052 53.3473668, -6.2802765 53.3473737, -6.2802867 53.3473363, -6.2803098 53.3472521, -6.2802386 53.3472452))",pub,McGettigan’s,Queen Street,Dublin
"POLYGON ((-6.4311105 53.2918927, -6.4311981 53.2918884, -6.4313536 53.2918807, -6.4313782 53.2920563, -6.4311351 53.2920685, -6.4311105 53.2918927))",restaurant,,,
"POLYGON ((-6.2804079 53.3476829, -6.2801262 53.3476553, -6.2801651 53.3475135, -6.2803273 53.3475293, -6.2803044 53.3476133, -6.2804237 53.347625, -6.2804079 53.3476829))",restaurant,Token,Queen Street,Dublin
"POLYGON ((-6.2651563 53.3360829, -6.265033 53.3361019, -6.2650532 53.3361488, -6.2651753 53.3361303, -6.2651563 53.3360829))",pub,Flannery’s,Camden Street Lower,Dublin
"POLYGON ((-6.2653523 53.3374137, -6.2653514 53.3374791, -6.265542 53.3374773, -6.2655255 53.3374064, -6.2653523 53.3374137))",restaurant,Bell Burritos,Wexford Street,Dublin
"POLYGON ((-6.2653461 53.3373491, -6.265516 53.3373418, -6.2655091 53.3372895, -6.2653403 53.3373015, -6.2653461 53.3373491))",restaurant,Café Sofia,Wexford Street,Dublin
"POLYGON ((-6.2655096 53.3370802, -6.2654814 53.3370378, -6.2651981 53.337098, -6.2652246 53.3371461, -6.2652887 53.3371339, -6.2652831 53.3371234, -6.2653828 53.3371044, -6.2655096 53.3370802))",pub,Against The Grain,Wexford Street,Dublin
"POLYGON ((-6.2655766 53.3372471, -6.2653698 53.3372643, -6.2653334 53.3372658, -6.2653403 53.3373015, -6.2655091 53.3372895, -6.2655851 53.337284, -6.2655766 53.3372471))",cafe,Nana's Tea,Wexford Street,
"POLYGON ((-6.2805276 53.3231462, -6.280133 53.3234021, -6.2800875 53.3234101, -6.2800445 53.3233028, -6.2801549 53.3232644, -6.2801079 53.3231989, -6.280417 53.3230876, -6.2805276 53.3231462))",bar,,,
"POLYGON ((-6.469244 53.2812381, -6.469067 53.2812542, -6.4689785 53.2812221, -6.4689382 53.2810441, -6.4691823 53.2810233, -6.469244 53.2812381))",pub,The Baurnafea House,Main Street,Rathcoole
"POLYGON ((-6.2617218 53.3497376, -6.2615985 53.3497616, -6.2615353 53.3496587, -6.2616584 53.3496374, -6.2617218 53.3497376))",cafe,Starbucks,Henry Street,Dublin
"POLYGON ((-6.2640763 53.3364894, -6.2640735 53.3364314, -6.2642482 53.3364269, -6.2642442 53.3364821, -6.2640763 53.3364894))",restaurant,Credo,Montague Street,
"POLYGON ((-6.2640763 53.3364894, -6.2639798 53.336493, -6.2639793 53.3364337, -6.2640735 53.3364314, -6.2640763 53.3364894))",cafe,Green Bench Café,Montague Street,Dublin
"POLYGON ((-6.2638873 53.3364965, -6.2638572 53.3364976, -6.2636997 53.3365033, -6.2637034 53.3364346, -6.263857 53.3364359, -6.2638872 53.3364361, -6.2638873 53.3364965))",restaurant,Wishbone,Montague Street,Dublin
"POLYGON ((-6.3078755 53.3404368, -6.3077991 53.340437, -6.3077959 53.340497, -6.3078194 53.3405102, -6.3078784 53.3405081, -6.3078755 53.3404368))",cafe,Cool Hand,Emmet Road,Dublin
"POLYGON ((-6.3035042 53.2982435, -6.3036109 53.2982184, -6.3036584 53.2982907, -6.3035516 53.2983157, -6.3035042 53.2982435))",restaurant,Guzto,Templeogue Road,
"POLYGON ((-6.3025525 53.298128, -6.3026093 53.298097, -6.302665 53.2980898, -6.3027007 53.2981868, -6.302732 53.2982717, -6.3030257 53.29824, -6.30307 53.298434, -6.3026886 53.2984619, -6.3025525 53.298128))",pub,The Morgue,Templeogue Road,Templeogue
"POLYGON ((-6.3042769 53.2983657, -6.304347 53.2983189, -6.3044757 53.2983882, -6.3044133 53.2984335, -6.3042769 53.2983657))",cafe,Village Coffee House,,
"POLYGON ((-6.2689392 53.330103, -6.2689251 53.3300027, -6.2690595 53.3299959, -6.2690748 53.3300973, -6.2689392 53.330103))",restaurant,I Monelli,Portobello Road,Dublin
"POLYGON ((-6.2782737 53.3495002, -6.2782613 53.3495487, -6.2782365 53.3496462, -6.2793648 53.3497486, -6.2793903 53.3496484, -6.2794415 53.349653, -6.2794532 53.3496073, -6.2792339 53.3495874, -6.2789616 53.3495627, -6.2787123 53.34954, -6.2782737 53.3495002))",restaurant,Grill & Grain Restaurant,Smithfield Terrace,Dublin
"POLYGON ((-6.2795885 53.3474821, -6.2795712 53.3475705, -6.2794587 53.3475626, -6.279476 53.3474743, -6.2795885 53.3474821))",cafe,Proper Order Coffee Co,Haymarket,
"POLYGON ((-6.2992658 53.2947917, -6.2992061 53.2948322, -6.2989416 53.2947008, -6.2991022 53.294524, -6.2992162 53.2945953, -6.2993047 53.2945079, -6.2995911 53.2946377, -6.2995373 53.2946841, -6.2995199 53.2946845, -6.2994773 53.2946636, -6.2994626 53.2946737, -6.2995001 53.2946893, -6.2995105 53.2947488, -6.2993959 53.2948173, -6.2993161 53.2948183, -6.2992658 53.2947917))",pub,The Old Orchard,Butterfield Avenue,Rathfarnham
"POLYGON ((-6.2621484 53.3456035, -6.2619117 53.345618, -6.261908 53.3455023, -6.2621338 53.3454894, -6.2621484 53.3456035))",pub,The Auld Dubliner,Temple Bar,Dublin
"POLYGON ((-6.3557759 53.29495, -6.3555707 53.2949482, -6.3555646 53.2947764, -6.3557515 53.2947616, -6.3557759 53.29495))",cafe,Costa,,
"POLYGON ((-6.3038842 53.3416767, -6.3038949 53.341605, -6.3036224 53.3416242, -6.3036271 53.3416574, -6.3037812 53.3416524, -6.3037837 53.3416723, -6.3038842 53.3416767))",pub,The Royal Oak,"High Road, Kilmainham Lane",Dublin
"POLYGON ((-6.3107725 53.3407828, -6.3107915 53.3406854, -6.3106713 53.340677, -6.3106247 53.3409167, -6.3107448 53.3409251, -6.3107725 53.3407828))",pub,Donoghue’s,Emmet Road,Dublin
"POLYGON ((-6.3626922 53.3194802, -6.3624854 53.3192305, -6.3627665 53.3191542, -6.3630134 53.3191884, -6.363033 53.3192087, -6.3630681 53.3191977, -6.3632951 53.3194697, -6.3632336 53.3194883, -6.3632746 53.3195368, -6.3629177 53.3196446, -6.3627997 53.3195051, -6.3627303 53.3195263, -6.3626922 53.3194802))",restaurant,Red Cow Inn,,Dublin
"POLYGON ((-6.3779953 53.2856137, -6.3780369 53.2855935, -6.3780218 53.2855824, -6.3779803 53.2856026, -6.3779953 53.2856137))",cafe,,,
"POLYGON ((-6.391152 53.2863664, -6.3908159 53.2863972, -6.3907909 53.2862986, -6.3909378 53.2862849, -6.3909792 53.2862815, -6.3909742 53.2862618, -6.3909703 53.2862468, -6.3910441 53.28624, -6.3910528 53.2862743, -6.3911267 53.2862676, -6.391152 53.2863664))",bar,Mark's Celtic F.C.,Maplewood Road,Dublin
"POLYGON ((-6.2646566 53.3425851, -6.2646746 53.3425326, -6.2646918 53.3424757, -6.2648421 53.3424904, -6.2649523 53.3425011, -6.2649391 53.3425522, -6.2649098 53.3425513, -6.2649018 53.3426, -6.264823 53.3425955, -6.2646566 53.3425851))",restaurant,Brasserie Sixty6,George's Street Great South,Dublin
"POLYGON ((-6.2646918 53.3424757, -6.2647171 53.3424283, -6.2647396 53.3423811, -6.2648609 53.3424018, -6.2648421 53.3424904, -6.2646918 53.3424757))",pub,Nolita,George’s Street Great South,Dublin
"POLYGON ((-6.2648664 53.3421716, -6.2648964 53.3421413, -6.2650591 53.3421846, -6.2650323 53.3422127, -6.2648664 53.3421716))",cafe,Café Amore,George's Street Great South,
"POLYGON ((-6.4767776 53.2808453, -6.4768055 53.2807828, -6.4766347 53.2807661, -6.4765639 53.2810049, -6.4765543 53.2810332, -6.4765402 53.2810864, -6.4765117 53.2811945, -6.476495 53.281251, -6.4766228 53.281263, -6.4769562 53.2812945, -6.4769617 53.2812737, -6.4770296 53.2812801, -6.4770379 53.2812441, -6.4770805 53.2810829, -6.4770891 53.2810346, -6.4769352 53.2810411, -6.4769583 53.2809534, -6.4769623 53.2809245, -6.4769031 53.280862, -6.4767776 53.2808453))",pub,An Poitín Stil,Naas Road,Rathcoole
"POLYGON ((-6.5341773 53.1700154, -6.5342552 53.1700482, -6.5342295 53.1700723, -6.5343175 53.1701064, -6.5342497 53.1701565, -6.5341659 53.1701554, -6.533938 53.1700505, -6.5339966 53.1700062, -6.5341235 53.1700644, -6.5341773 53.1700154))",pub,,,
"POLYGON ((-6.5187539 53.3181541, -6.518677 53.3181875, -6.5186529 53.3181677, -6.5186208 53.3181817, -6.5185267 53.3181043, -6.5185484 53.3180949, -6.5185252 53.3180758, -6.5186124 53.3180379, -6.5187539 53.3181541))",pub,,,
"POLYGON ((-6.266813 53.3311979, -6.2667266 53.3311996, -6.2667208 53.3310953, -6.2667456 53.3310949, -6.2667427 53.3310433, -6.2668043 53.3310421, -6.266813 53.3311979))",restaurant,31 Lennox,Lennox Street,Dublin
"POLYGON ((-6.2647766 53.331853, -6.2647614 53.3317905, -6.264942 53.3317748, -6.2649568 53.3318356, -6.2647766 53.331853))",restaurant,Wildflower,Richmond Street South,
"POLYGON ((-6.2755703 53.3321678, -6.2753377 53.3321718, -6.2753342 53.3320994, -6.2754515 53.3320974, -6.2754525 53.3321177, -6.2755678 53.3321157, -6.2755703 53.3321678))",pub,Leonard’s Corner,South Circular Road,Dublin
"POLYGON ((-6.2787815 53.3182436, -6.2786501 53.3181631, -6.278733 53.3181185, -6.278745 53.3181292, -6.2787753 53.318112, -6.2788379 53.3181515, -6.2788145 53.3181647, -6.2788567 53.3181932, -6.2787815 53.3182436))",restaurant,Becket & Bull,,
"POLYGON ((-6.2645062 53.3226819, -6.2645358 53.3227524, -6.2645882 53.3228762, -6.2646317 53.3229271, -6.2648677 53.3228726, -6.2649123 53.3229403, -6.2650185 53.3229127, -6.2650054 53.3227568, -6.2650203 53.3226033, -6.2648261 53.3226334, -6.2648493 53.3227062, -6.2648195 53.3227106, -6.2647897 53.322715, -6.2647833 53.3226974, -6.2647637 53.3226429, -6.2645062 53.3226819))",cafe,Fallon & Byrne,Castlewood Avenue,
"POLYGON ((-6.2847955 53.2992505, -6.2848418 53.2991868, -6.2850277 53.2992345, -6.2849849 53.2992954, -6.2847955 53.2992505))",cafe,Studio Cafe,,
"POLYGON ((-6.2855356 53.2985216, -6.285333 53.298474, -6.2852735 53.2984604, -6.2853564 53.298332, -6.2856209 53.2983949, -6.2855356 53.2985216))",pub,Kavanagh’s,Main Street,Dublin
"POLYGON ((-6.2856209 53.2983949, -6.2853564 53.298332, -6.2854015 53.2982707, -6.2856653 53.2983347, -6.2856209 53.2983949))",pub,The Revels,Main Street,Dublin
"POLYGON ((-6.2849343 53.2990536, -6.284976 53.2989947, -6.2851659 53.2990438, -6.285124 53.2991012, -6.2849343 53.2990536))",restaurant,The Mango Tree,Main Street,
"POLYGON ((-6.2646502 53.3449797, -6.2643512 53.3449841, -6.2643474 53.3449012, -6.2644676 53.3448985, -6.2645849 53.344905, -6.2647104 53.344918, -6.2648443 53.3449368, -6.2648463 53.3449761, -6.2646502 53.3449797))",theatre,The Button Factory,Curved Street,Dublin
"POLYGON ((-6.6152099 53.1327876, -6.6149551 53.132782, -6.614968 53.1325715, -6.6152228 53.1325771, -6.6152199 53.1326242, -6.6150401 53.1326203, -6.6150346 53.1327097, -6.6152144 53.1327137, -6.6152099 53.1327876))",pub,The Thatch,,Ballymore Eustace
"POLYGON ((-6.3423895 53.3485702, -6.3424342 53.3485305, -6.3423402 53.3484928, -6.3424712 53.3483765, -6.3422797 53.3482996, -6.342233 53.3483411, -6.3422498 53.3483479, -6.3420646 53.3485122, -6.3421357 53.3485407, -6.3421873 53.348495, -6.3422063 53.3485026, -6.3422109 53.3484985, -6.3423895 53.3485702))",pub,Mullingar House,Mullingar Terrace,Dublin
"POLYGON ((-6.3438972 53.349243, -6.343941 53.3492668, -6.3438931 53.3492983, -6.3439022 53.3493029, -6.3438077 53.3493659, -6.3437799 53.3493513, -6.343819 53.3493256, -6.3437931 53.3493115, -6.3437993 53.3493074, -6.3438972 53.349243))",cafe,The Twirly Gate,Main Street,
"POLYGON ((-6.3443789 53.349564, -6.3444575 53.3496123, -6.3443225 53.3496906, -6.3442438 53.3496423, -6.3443789 53.349564))",cafe,BaaBaa by Blacksheep Foods,Main Street,
"POLYGON ((-6.3444575 53.3496123, -6.34451 53.3496446, -6.3444136 53.3497005, -6.3444023 53.3496936, -6.3443233 53.3497394, -6.3442821 53.3497141, -6.3443225 53.3496906, -6.3444575 53.3496123))",pub,The Villager,Main Street,Dublin
"POLYGON ((-6.2675048 53.3444145, -6.2677353 53.3443872, -6.2677471 53.3444116, -6.2677583 53.3444356, -6.2675209 53.3444651, -6.2675048 53.3444145))",bar,Street 66,Parliament Street,Dublin
"POLYGON ((-6.4701627 53.2811615, -6.4701593 53.2809997, -6.4702429 53.2809991, -6.4702425 53.2809796, -6.470269 53.2809794, -6.4702675 53.2809101, -6.4703597 53.2809094, -6.4703575 53.2808063, -6.4704549 53.2808056, -6.4704569 53.2809023, -6.4706241 53.280897, -6.4706295 53.2811581, -6.4701627 53.2811615))",pub,The Rathcoole Inn,Main Street,Rathcoole
"POLYGON ((-6.2701843 53.3482293, -6.2703467 53.3482159, -6.2703211 53.3480835, -6.2701813 53.3480932, -6.270189 53.3481329, -6.2702342 53.3481298, -6.2702405 53.3481623, -6.2701702 53.3481671, -6.2701843 53.3482293))",pub,Hacienda Bar,Little Mary Street,Dublin
"POLYGON ((-6.2663684 53.345148, -6.2662214 53.3451627, -6.2662485 53.3452463, -6.266392 53.345229, -6.2663684 53.345148))",pub,Anne’s Bar,Essex Street East,Dublin
"POLYGON ((-6.2672639 53.3464312, -6.2673051 53.346546, -6.2673882 53.3465346, -6.2673756 53.3464958, -6.267361 53.3464551, -6.2673142 53.346461, -6.2673007 53.3464272, -6.2672639 53.3464312))",cafe,Love is Art,Great Strand Street,Dublin
"POLYGON ((-6.5384299 53.3406546, -6.538157 53.3405571, -6.5381175 53.3405965, -6.5381757 53.3406173, -6.5383905 53.340694, -6.5384299 53.3406546))",restaurant,The Canteen,,
"POLYGON ((-6.372046 53.3313338, -6.3721694 53.3311747, -6.3718241 53.3309848, -6.3718263 53.3312088, -6.372046 53.3313338))",restaurant,Bel Cibo,,
"POLYGON ((-6.2977274 53.3364665, -6.2978801 53.3364518, -6.2979257 53.3364214, -6.2980973 53.3361836, -6.2978057 53.3361171, -6.2977773 53.3362848, -6.2977438 53.3362782, -6.2977274 53.3364665))",pub,The Circular,South Circular Road,
"POLYGON ((-6.2673742 53.345308, -6.2675641 53.3452886, -6.2675538 53.3452533, -6.2673622 53.3452745, -6.2673742 53.345308))",cafe,The Music Cafe,Wellington Quay,
"POLYGON ((-6.2658789 53.335832, -6.2661291 53.3358086, -6.2661452 53.3358672, -6.2654067 53.3359283, -6.2653899 53.3358757, -6.2658789 53.335832))",restaurant,McGuinness Traditional Takeaway,Camden Street Lower,
"POLYGON ((-6.3507665 53.3035393, -6.3505433 53.3035116, -6.3503766 53.303492, -6.3504061 53.3033711, -6.3504086 53.3033714, -6.350774 53.303413, -6.3508061 53.3034187, -6.3507665 53.3035393))",theatre,Tallaght Theatre,,
"POLYGON ((-6.2746627 53.341288, -6.274574 53.3413063, -6.2745668 53.3412939, -6.2743476 53.3413392, -6.2743229 53.3412965, -6.2744434 53.3412717, -6.2746308 53.341233, -6.2746627 53.341288))",pub,Jackie’s,Francis Street,Dublin
"POLYGON ((-6.2748143 53.341531, -6.2748472 53.3415839, -6.274613 53.3416311, -6.2745844 53.3415798, -6.2748143 53.341531))",pub,The Liberty Belle,Francis Street,Dublin
"POLYGON ((-6.2663617 53.3443888, -6.2663653 53.3443597, -6.2663499 53.3443603, -6.2663347 53.3443609, -6.2663454 53.344274, -6.2663579 53.3442734, -6.2664503 53.3442687, -6.2664637 53.3443792, -6.2663617 53.3443888))",pub,Brogan’s,Dame Street,Dublin
"POLYGON ((-6.2650735 53.3340077, -6.2647565 53.3340584, -6.2647854 53.3341147, -6.2650963 53.334062, -6.2650735 53.3340077))",pub,Cassidy’s,Camden Street Lower,Dublin
"POLYGON ((-6.2812486 53.2826957, -6.2816194 53.28268, -6.2816138 53.2826159, -6.2812506 53.2826262, -6.2812486 53.2826957))",cafe,Seomra Tae,,
"POLYGON ((-6.377544 53.3020288, -6.3773751 53.3018339, -6.377538 53.3017835, -6.3777069 53.3019784, -6.377544 53.3020288))",cafe,Costa,,
"POLYGON ((-6.5329445 53.1709734, -6.533081 53.1708885, -6.5332885 53.1710085, -6.5332023 53.1710621, -6.5331669 53.1710417, -6.533117 53.1710728, -6.5330964 53.1710609, -6.5329837 53.1709961, -6.5329445 53.1709734))",restaurant,Lemon Tree,The Square,
"POLYGON ((-6.269167 53.3497171, -6.2691948 53.3497765, -6.2690187 53.3498052, -6.2689927 53.3497482, -6.269167 53.3497171))",pub,The Black Sheep,Capel Street,Dublin
"POLYGON ((-6.390777 53.286245, -6.3907257 53.2862498, -6.3906996 53.2861493, -6.3908977 53.2861309, -6.3909378 53.2862849, -6.3907909 53.2862986, -6.390777 53.286245))",bar,Mark's Celtic F.C.,Maplewood Road,Dublin
"POLYGON ((-6.2585165 53.3501666, -6.2584237 53.3501813, -6.2584655 53.3502753, -6.2585583 53.3502606, -6.2585165 53.3501666))",restaurant,Xi'An Street Food,North Earl Street,Dublin
"POLYGON ((-6.2585026 53.3503556, -6.2584794 53.3503068, -6.2583788 53.3503238, -6.258402 53.3503726, -6.2585026 53.3503556))",pub,The Confession Box,Marlborough Street,Dublin
"POLYGON ((-6.2593697 53.3500316, -6.2594097 53.3501174, -6.2593237 53.3501317, -6.2592837 53.3500459, -6.2593697 53.3500316))",pub,Madigan’s,North Earl Street,Dublin
"POLYGON ((-6.2598646 53.3504234, -6.2597506 53.3504408, -6.2597119 53.3503467, -6.2598252 53.3503304, -6.2598646 53.3504234))",pub,Branigan’s,Cathedral Street,Dublin
"POLYGON ((-6.2597506 53.3504408, -6.2596313 53.3504583, -6.2596046 53.3503935, -6.2595926 53.3503642, -6.2597119 53.3503467, -6.2597506 53.3504408))",cafe,The Vintage Teapot,Cathedral Street,Dublin
"POLYGON ((-6.2590273 53.3499455, -6.258921 53.3499639, -6.258874 53.3498647, -6.2589814 53.3498466, -6.2590273 53.3499455))",cafe,Starbucks,North Earl Street,Dublin
"POLYGON ((-6.2582689 53.3500243, -6.2582207 53.3499092, -6.258373 53.3498864, -6.2583931 53.3499346, -6.2583369 53.3499436, -6.2583503 53.3499743, -6.2583667 53.3500088, -6.2582689 53.3500243))",restaurant,Istanbel Buffet House,Marlborough Street,Dublin
"POLYGON ((-6.2595063 53.3487994, -6.2595328 53.3488621, -6.2592165 53.3489093, -6.2591724 53.3488087, -6.2593199 53.3487856, -6.2593836 53.3487756, -6.2594 53.3488146, -6.2595063 53.3487994))",restaurant,Encha Asian Cuisine,O'Connell Street Lower,Dublin
"POLYGON ((-6.2589573 53.3487072, -6.2588563 53.3487228, -6.2588143 53.3486285, -6.2589159 53.348612, -6.2589573 53.3487072))",pub,Mooney’s,Abbey Street Lower,Dublin
"POLYGON ((-6.3205842 53.3398884, -6.3203723 53.3398342, -6.3203356 53.3398766, -6.3205501 53.3399299, -6.3205842 53.3398884))",restaurant,Italian Restaurant Funto Wine Bar & Pizzeria,Grattan Crescent,
"POLYGON ((-6.2609642 53.3484867, -6.2608731 53.3484983, -6.2608247 53.3483449, -6.2609265 53.3483352, -6.2609642 53.3484867))",cafe,Cafe Crema,Middle Abbey Street,Dublin
